Id;RestaurantId;Weekday;OpenFrom;OpenTo;Notes;IsActive
1;77;4;10:00:00.0000000;21:30:00.0000000;;1
2;4;1;10:30:00.0000000;21:30:00.0000000;;1
3;55;4;10:00:00.0000000;21:50:00.0000000;;1
4;50;8;10:30:00.0000000;22:30:00.0000000;;1
6;48;5;17:00:00.0000000;22:00:00.0000000;;1
7;16;4;11:00:00.0000000;22:00:00.0000000;;1
8;49;0;11:00:00.0000000;23:45:00.0000000;;1
10;65;8;11:00:00.0000000;21:00:00.0000000;;1
11;31;4;11:00:00.0000000;14:30:00.0000000;;1
12;40;5;10:00:00.0000000;20:00:00.0000000;;1
13;21;4;10:00:00.0000000;21:45:00.0000000;;1
14;45;4;11:00:00.0000000;02:00:00.0000000;;1
15;2;8;11:00:00.0000000;22:00:00.0000000;;1
17;28;5;17:00:00.0000000;21:30:00.0000000;;1
18;13;3;17:00:00.0000000;22:45:00.0000000;;1
19;80;5;10:30:00.0000000;21:30:00.0000000;;1
20;48;2;17:00:00.0000000;22:00:00.0000000;;1
21;20;8;11:00:00.0000000;14:00:00.0000000;;1
22;8;8;16:30:00.0000000;20:30:00.0000000;NULL;1
23;56;6;11:00:00.0000000;21:00:00.0000000;;1
25;34;2;11:00:00.0000000;23:30:00.0000000;;1
26;74;2;11:00:00.0000000;23:45:00.0000000;;1
27;3;0;10:45:00.0000000;22:30:00.0000000;;1
28;48;3;10:00:00.0000000;13:30:00.0000000;;1
29;58;0;09:00:00.0000000;23:00:00.0000000;;1
31;35;4;10:45:00.0000000;23:00:00.0000000;;1
32;16;0;14:00:00.0000000;22:00:00.0000000;;1
33;77;5;10:00:00.0000000;21:30:00.0000000;;1
34;38;8;11:00:00.0000000;21:45:00.0000000;;1
35;80;3;10:30:00.0000000;21:30:00.0000000;;1
36;75;5;11:00:00.0000000;21:30:00.0000000;;1
37;49;5;11:00:00.0000000;23:45:00.0000000;;1
38;35;8;10:45:00.0000000;23:00:00.0000000;;1
40;81;2;11:00:00.0000000;14:00:00.0000000;;1
41;275;2;10:00:00.0000000;22:00:00.0000000;;1
42;62;5;11:30:00.0000000;14:30:00.0000000;;1
43;43;2;11:00:00.0000000;22:00:00.0000000;;1
44;64;6;10:30:00.0000000;22:30:00.0000000;;1
45;11;5;17:00:00.0000000;20:30:00.0000000;;1
46;10;6;11:00:00.0000000;21:45:00.0000000;;1
47;50;5;10:30:00.0000000;22:30:00.0000000;;1
49;51;6;10:30:00.0000000;22:30:00.0000000;;1
51;78;2;17:00:00.0000000;21:30:00.0000000;;1
52;38;4;11:00:00.0000000;21:45:00.0000000;;1
53;32;0;10:30:00.0000000;22:30:00.0000000;;1
54;43;4;11:00:00.0000000;22:00:00.0000000;;1
55;13;4;17:00:00.0000000;22:45:00.0000000;;1
57;37;2;10:30:00.0000000;21:30:00.0000000;;1
58;5;1;11:00:00.0000000;21:30:00.0000000;;1
59;55;1;10:00:00.0000000;21:50:00.0000000;;1
62;60;3;11:00:00.0000000;20:45:00.0000000;;1
63;10;8;11:00:00.0000000;21:45:00.0000000;;1
64;21;8;10:00:00.0000000;21:45:00.0000000;;1
65;47;1;11:00:00.0000000;22:30:00.0000000;;1
67;3;6;10:45:00.0000000;22:30:00.0000000;;1
68;12;5;11:00:00.0000000;21:00:00.0000000;;1
69;18;1;10:30:00.0000000;21:45:00.0000000;;1
70;83;6;11:00:00.0000000;22:00:00.0000000;;1
71;64;5;10:30:00.0000000;22:30:00.0000000;;1
72;29;6;10:00:00.0000000;22:00:00.0000000;;1
73;28;3;17:00:00.0000000;21:30:00.0000000;;1
74;55;0;10:00:00.0000000;21:50:00.0000000;;1
75;8;4;11:00:00.0000000;13:45:00.0000000;;1
76;4;5;10:30:00.0000000;21:30:00.0000000;;1
77;13;4;11:00:00.0000000;14:00:00.0000000;;1
78;63;1;10:30:00.0000000;21:30:00.0000000;;1
79;79;0;11:00:00.0000000;21:00:00.0000000;;1
80;32;8;10:30:00.0000000;22:30:00.0000000;;1
81;50;1;10:30:00.0000000;22:30:00.0000000;;1
82;61;4;10:30:00.0000000;21:30:00.0000000;;1
83;1;0;21:00:00.0000000;02:30:00.0000000;;1
84;30;8;10:00:00.0000000;23:00:00.0000000;;1
85;32;3;10:30:00.0000000;22:30:00.0000000;;1
86;53;5;10:30:00.0000000;21:40:00.0000000;;1
87;47;0;11:00:00.0000000;22:30:00.0000000;;1
88;29;8;10:00:00.0000000;22:00:00.0000000;;1
89;60;4;11:00:00.0000000;20:45:00.0000000;;1
90;8;3;17:00:00.0000000;20:30:00.0000000;;1
91;1;5;21:00:00.0000000;02:30:00.0000000;;1
93;18;3;10:30:00.0000000;21:45:00.0000000;;1
94;48;8;10:00:00.0000000;13:30:00.0000000;;1
95;79;5;17:00:00.0000000;22:30:00.0000000;;1
96;37;1;10:30:00.0000000;21:30:00.0000000;;1
98;79;6;11:00:00.0000000;14:00:00.0000000;;1
99;59;2;10:30:00.0000000;21:15:00.0000000;;1
100;7;1;11:00:00.0000000;21:00:00.0000000;;1
101;84;1;10:30:00.0000000;22:45:00.0000000;;1
102;17;8;10:30:00.0000000;21:00:00.0000000;;1
103;45;2;11:00:00.0000000;02:00:00.0000000;;1
104;25;4;17:00:00.0000000;21:45:00.0000000;;1
