Id;DisplayName;UniqueName;OwnerName;AddressStreet;AddressHousenumber;AddressZipcode;AddressCity;State
1;Burgermeister by Kebap Mann;burgermeister-by-kebap-mann-linz;burgermeister-by-kebap-mann-linz;Melissenweg;2a;4020;Linz;1
2;Deno Pizza und Grill;deno-pizza-grill-linz;deno-pizza-grill-linz;Simonystraße ;1:00 AM;4030;Linz;2
3;Casa Adriana ;casa-adriana-steyr;casa-adriana-steyr;Prof. Erich Grandy Platz ;02-Apr;4400;Steyr;2
4;Dauphine Pizza;dauphine-pizza-linz;dauphine-pizza-linz;Dauphinestraße;208;4030;Linz ;2
5;Panda Wok;panda-wok-linz;panda-wok-linz;Lederergasse;2;4020;Linz;2
6;Pizzeria Casa Leon und Gamos;casa-leon-steyr;casa-leon-steyr;Josef Rohrauerstraße ;1;4400;Steyr;2
7;Hot Burger Box Asten ;hot-burger-box-asten-asten;hot-burger-box-asten-asten;Handelsring;08-Oct;4481;Asten ;2
8;Pizza Heaven Urfahr ;pizza-heaven-rudolfstrasse;pizza-heaven-rudolfstrasse;Rudolfstraße ;39;4040;Linz;2
9;Pizza Milano;pizza-milano-linz;pizza-milano-linz;Prinz Eugen Straße ;5;4020;Linz;2
10;Bella Italia II;bella-italia-ii-steyr;bella-italia-ii-steyr;Karl Punzerstraße ;34;4400;Steyr;2
11;PIZZA HEAVEN ;pizza-heaven-landwiedstrasse-alt;pizza-heaven-landwiedstrasse-alt;Landwiedstraße;31;4020;Linz;1
12;Pizza Time;pizza-time-pregarten;pizza-time-pregarten;Stadtplatz;23;4230;Pregarten;2
13;Casa Milano;casa-milano-steyr;casa-milano-steyr;Ennser Straße ;1;4400;Steyr;2
14;Pizzeria David Urfahr;pizzeria-david-urfahr-linz;pizzeria-david-urfahr-linz;Wildbergstraße ;6;4040;Linz;2
15;Til Treffpunkt ;til-treffpunkt-pasching;til-treffpunkt-pasching;Adlbert Stifter Strasse ;31;4061;Pasching;2
16;Pizzeria Da Luca ;pizzeria-da-luca-linz;pizzeria-da-luca-linz;Werndlstraße ;21;4020;Linz;2
17;ADA Pizza Kebap Haus;ada-pizza-kebab-haus-hoersching;ada-pizza-kebab-haus-hoersching;Brucknerplatz;6;4063;Hörsching ;2
18;Baron Pizza & Kebab House;baron-pizza-kebab-house-enns;baron-pizza-kebab-house-enns;Wienerstraße ;2;4470;Enns ;2
19;Kebap Mann;kebab-mann-linz;kebab-mann-linz;Melissenweg;2a;4020;Linz ;2
20;Bug´s Bar & Restaurant;bugs-bar-restaurant-linz;bugs-bar-restaurant-linz;Hauptplatz;3;4020;Linz;1
21;Pizzeria Giovanni;pizzeria-giovanni-linz;pizzeria-giovanni-linz;Wienerstraße ;91;4020;Linz;2
22;Tokyo Running Sushi;tokyo-running-sushi-linz;tokyo-running-sushi-linz;Landstraße ;66;4020;Linz ;2
23;Phonebox;phonebox-linz;phonebox-linz;Weißenwolffstraße;1;4020;Linz;2
24;Xin Xin;xin-xin-steyr;xin-xin-steyr;Enge Gasse ;20;4400;Steyr;1
25;INoodles;inoodles-linz;inoodles-linz;Gutenbergstraße ;2;4030;Linz;2
26;Kung Fu ;kung-fu-linz;kung-fu-linz;Landstraße;71-75;4020;Linz;2
27;Restaurant existiert nicht;test-restaurant-peilstein;test-restaurant-peilstein;Rinnmühle;25;4153;Peilstein;1
28;Kim San ;kim-san-linz;kim-san-linz;Hauptplatz;4;4020;Linz ;2
29;Gonzales Pizzeria;gonzales-pizzeria-linz;gonzales-pizzeria-linz;Unionstraße ;102/2;4020;Linz;1
30;Pizzeria Siciliana;pizzeria-siciliana-wels;pizzeria-siciliana-wels;Bahnhofstraße ;17;4600;Wels ;2
31;Restaurant Sarang;restaurant-sarang-linz;restaurant-sarang-linz;Anatasius-Grün-Straße ;1;4020;Linz ;2
32;Mehl und Salz ;mehl-und-salz-wels ;mehl-und-salz-wels ;Eferdingerstraße ;6;4600;Wels ;2
33;Pizzeria Gabriel ;pizzeria-gabriel-steyr;pizzeria-gabriel-steyr;Wehrgrabengasse;16;4400;Steyr;2
34;La Marina ;la-marina-traun;la-marina-traun;Hauptplatz;8;4050;Traun;2
35;Fuzo Kebap Pizza;fuzo-linz;fuzo-linz;Rudolfstraße ;1;4040;Linz;2
36;Bella Pizza ;bella-pizza-linz;bella-pizza-linz;Wienerstraße ;145;4020;Linz;2
37;Uni Pizza;uni-pizza-linz;uni-pizza-linz;Johann Wilhelm Kleinstraße ;53;4040;Linz;1
38;Piatto Pizza & Kebap;piatto-pizza-kebap-linz;piatto-pizza-kebap-linz;Wienerstraße ;486;4030;Linz;2
39;Kebaplounge Istanbul;kebaplounge-istanbul-steyr;kebaplounge-istanbul-steyr;Bahnhofstraße ;01-Mar;4400;Steyr;2
40;Doy Doy Pizza und Kebab;doy-doy-piza-kebab-wels;doy-doy-piza-kebab-wels;Linzerstraße ;146;4600;Wels ;2
41;Pizzeria Tuana;pizzeria-tuana-linz;pizzeria-tuana-linz;Hanuschstraße ;78;4020;Linz;2
42;Mee Noodles;mee-noodles-linz;mee-noodles-linz;Mozartstrasse ;7;4020;Linz ;2
43;Fuzo Wels;fuzo-wels-wels;fuzo-wels-wels;Stadtplatz;11;4060;Wels ;2
44;Pizzeria Casa Romana;pizzeria-casa-romana-steyr;pizzeria-casa-romana-steyr;Johannesgasse ;25;4400;Steyr;1
45;Pizza Solo;pizza-solo-linz;pizza-solo-linz;Füchselstraße ;14;4020;Linz;2
46;Palas Restaurant;palas-restaurant-haid;palas-restaurant-haid;Hauptplatz;26;4053;Haid;1
47;Bella Italia ;bella-italia-steyr;bella-italia-steyr;Pachnergasse;3;4400;Steyr;2
48;Restaurant Semo;restaurant-semo-wels;restaurant-semo-wels;Salzburgerstraße;67;4600;Wels;2
49;My Pizza hot and fresh;my-pizza-hot-and-fresh-linz;my-pizza-hot-and-fresh-linz;Schmiedegasse ;1;4040;Linz ;2
50;El Paso;el-paso-linz;el-paso-linz;OK-Platz;1A;4020;Linz;2
51;Pizzeria Ristorante Da Vinci Linz;da-vinci-linz-linz;da-vinci-linz-linz;Schillerstraße ;2;4020;Linz;2
52;David Pizzeria ;david-pizzeria-marchtrenk;david-pizzeria-marchtrenk;Bahnhofstraße ;5;4614;Marchtrenk;2
53;Pizzeria Mido;pizzeria-mido-steyr;pizzeria-mido-steyr;Schönauer Straße;9;4400;Steyr;2
54;David Leonding ;david-leonding;david-leonding;Welserstraße ;43;4060;Leonding;2
55;La Familia;la-familia-haid;la-familia-haid;Hauptplatz;35;4053;Haid;2
56;Ömers Burger Grill;omers-freistadt;omers-freistadt;Eisengasse;18;4240;Freistadt;2
57;Locanta Ristorante ;locanta-ristorante-marchtrenk;locanta-ristorante-marchtrenk;Linzerstraße ;18;4614;Marchtrenk;2
58;Pizzeria;city-kebap-pizza-linz-old;city-kebap-pizza-linz-old;Wiener Straße ;12;4020;Linz ;1
59;Flamingo;Flamingo-Unterweitersdorf;Flamingo-Unterweitersdorf;Betriebsstraße ;8;4210;Unterweitersdorf;2
60;Pizzeria Pierra;pizzeria-pierra-traun;pizzeria-pierra-traun;Leondingerstraße;14;4050;Traun;2
61;Holzofenpizzeria Buon Appetito;holzofenpizzeria-bon-appetito-linz;holzofenpizzeria-bon-appetito-linz;Freistädterstraße;47;4040;Linz;2
62;DAVID KING;david-king-wels;david-king-wels;Salzburgerstraße;67/1;4600;Wels ;2
63;Venezia Pizzeria ;venezia-pizzeria-stflorian;venezia-pizzeria-stflorian;Marktplatz;3;4490;St Florian;2
64;Pizzeria Ristorante Da Vinci Lissfeld;da-vinci-lissfeld-linz;da-vinci-lissfeld-linz;Hausleitnerweg;105;4020;Linz;2
65;Kocak Pizza House;kocak-pizza-house-traun;kocak-pizza-house-traun;Hauptplatz;5;4050;Traun;2
66;Balkan;balkan-linz;balkan-linz;Wienerstraße ;6;4020;Linz;1
67;Pizzaservice Solo ;pizzaservice-solo-wels;pizzaservice-solo-wels;Gabelsbergerstraße ;1;4600;Wels;1
68;Imperial;imperial-steyr;imperial-steyr;Stadtplatz;21;4400;Steyr;2
69;ALT Burger & Pizza House;burger-pizza-house-wels;burger-pizza-house-wels;Bahnhofstraße ;6;4600;Wels;1
70;King Food ;king-food-steyr;king-food-steyr;Haratzmüllerstraße ;63A;4400;Steyr;2
71;Pizza Burger Asten;pizza-burger-asten-asten;pizza-burger-asten-asten;Wienerstraße ;10;4481;Asten ;1
72;Uno Pizza;uno-pizza-wels;uno-pizza-wels;Eferdingerstraße ;72;4600;Wels;2
73;Alimo;alimo-asten;alimo-asten;Handelsring;5c;4481;Asten ;1
74;Buffalo;buffalo-linz;buffalo-linz;Hauptstraße ;66;4040;Linz;2
75;La Diva Ristorente ;la-diva-ristorente-enns;la-diva-ristorente-enns;Am Römerfeld ;5;4470;Enns ;2
76;Pizza Zone;pizza-zone-linz;pizza-zone-linz;Vogelfängerweg;25;4030;Linz ;2
77;Cardoloni;cardoloni-thallheim;cardoloni-thallheim;Reinberghof;2;4600;Thallheim;2
78;China Palast;china-palast-linz;china-palast-linz;Brucknerstraße ;28;4020;Linz ;2
79;Casa Corrado ;casa-corrado-linz;casa-corrado-linz;Hauptstraße ;01-May;4040;Linz ;2
80;Pizzeria Colorado ;pizzeria-colorado-wilhering;pizzeria-colorado-wilhering;Linzerstraße ;44;4073;Wilhering;2
81;Pizza Station Lucia;pizza-station-lucia-linz;pizza-station-lucia-linz;Wischerstraße ;1;4040;Linz;2
82;Alt Pizza Mir;pizza-mir-linz-alt;pizza-mir-linz-alt;Museumsstraße ;19;4020;Linz;1
83;Pizza Baron;pizza-baron-linz;pizza-baron-linz;Wiener Straße ;6;4020;Linz;1
84;Pizza Valentinos;pizza-valentinos-linz;pizza-valentinos-linz;Franckstraße ;33;4020;Linz;2
85;Fratello Pizzeria;fratello-pizzeria-wartberg;fratello-pizzeria-wartberg;Arnbergstraße;6;4224;Wartberg /Aist ;2
86;Kung Fu Pasching ;kung-fu-pasching-pasching;kung-fu-pasching-pasching;Pluskaufstraße ;7;4061;Pasching ;1
87;Hot Burger Box Leonding;hot-burgerbox-leonding;hot-burgerbox-leonding;Wiener Bundesstraße;10;4060;Leonding;2
88;Austro Pizzeria alt;pizzeria-austro-linz;pizzeria-austro-linz;Leonfeldnerstraße;21;4040;Linz;1
92;Restaurant Zanos;zanos-unterweitersdorf;zanos-unterweitersdorf;Untere Dorfstraße;2;4213;Unterweitersdorf;2
93;Ristorante Pizzeria Napoli;napoli-freistadt;napoli-freistadt;Markt ;44;4271;St Oswald ;2
94;Da Vinci Pizzeria;da-vinci-freistadt;da-vinci-freistadt;Stifterplatz;1;4240;Freistadt;2
95;Jimmys Burger;jimmys-burger-linz;jimmys-burger-linz;Landstraße ;119;4020;Linz;2
96;Wirzshaus zur ewigen Ruh;wirzshaus-zur-ewigen-ruh-linz;wirzshaus-zur-ewigen-ruh-linz;Friedhofstraße ;12;4020;Linz;1
97;Alt Pizzeria Al Forno ;alforno-valentin-oldf;alforno-valentin-oldf;Westbahnstraße;20a;4300;St Valentin;1
98;Pizzeria Riviera;riviera-sankt-georgen;riviera-sankt-georgen;Mauthausenerstraße ;21;4222;St Georgen an der Gusen;2
99;La Bella Pizzeria ;pizzeria-la-bella-katsdorf;pizzeria-la-bella-katsdorf;Linzer Straße ;5;4223;Katsdorf;2
100;Cocktail Lieferservice;cocktail-service-leonding;cocktail-service-leonding;Rathausgasse;3;4060;Leonding ;2
103;Curry and Co;curry-und-co-linz;curry-und-co-linz;Franckstraße ;45;4030;Linz ;2
105;Burger & Pizza Blitz ;burger-pizza-blitz-linz;burger-pizza-blitz-linz;Wienerstraße ;89;4020;Linz;2
